iter	Passed	Remaining
0	10	1014336
1	17	897714
2	27	906145
3	34	861640
4	44	892574
5	48	816064
6	58	838967
7	66	827810
8	77	861850
9	89	894062
10	101	923973
11	112	936163
12	121	934720
13	130	935314
14	141	940263
15	148	928593
16	159	937893
17	167	928311
18	178	939491
19	190	949855
20	201	957610
21	210	955863
22	221	960743
23	228	951622
24	237	950248
25	245	943209
26	253	939504
27	260	930812
28	272	940694
29	283	945541
30	290	937503
31	308	962828
32	319	968511
33	330	972161
34	337	964544
35	348	968255
36	356	963969
37	368	969931
38	381	976614
39	386	964690
40	397	968542
41	405	964065
42	415	966026
43	423	962131
44	436	970124
45	448	974058
46	458	975053
47	465	969670
48	476	972475
49	483	967355
50	494	969435
51	502	965248
52	514	970307
53	527	975455
54	539	979554
55	549	981284
56	558	980025
57	569	982153
58	577	977394
59	589	981397
60	600	983523
61	607	979742
62	619	982449
63	627	979250
64	637	980520
65	645	977151
66	657	980674
67	668	982206
68	675	978718
69	688	982673
70	702	988179
71	714	991160
72	721	988070
73	734	991261
74	744	992496
75	752	989287
76	763	990349
77	770	987555
78	784	991770
79	795	993471
80	806	995256
81	818	997691
82	830	999740
83	842	1002096
84	849	999032
85	860	1000266
86	873	1003258
87	885	1004913
88	895	1005363
89	903	1002732
90	913	1003358
91	919	998109
92	929	998490
93	936	995503
94	949	998291
95	959	998542
96	966	995777
97	977	996330
98	984	993739
99	1001	1000233
100	1012	1000987
101	1019	998437
102	1029	998697
103	1036	995916
104	1049	998307
105	1061	1000439
106	1073	1002332
107	1085	1004458
108	1097	1005753
109	1107	1006129
110	1115	1003711
111	1126	1004739
112	1133	1002100
113	1142	1001369
114	1149	998849
115	1162	1001066
116	1172	1001276
117	1180	998977
118	1190	998936
119	1196	996283
120	1207	997049
121	1214	994648
122	1225	994761
123	1232	992440
124	1244	994616
125	1255	995176
126	1263	993239
127	1281	1000122
128	1290	998833
129	1302	1000348
130	1309	998466
131	1321	999608
132	1331	999835
133	1339	998125
134	1350	998678
135	1358	997322
136	1369	998128
137	1377	996451
138	1388	997548
139	1395	995166
140	1406	995953
141	1414	994367
142	1427	996572
143	1437	997006
144	1444	994983
145	1456	996201
146	1463	994195
147	1476	995990
148	1486	996098
149	1493	994464
150	1505	995501
151	1513	994174
152	1525	995492
153	1533	993958
154	1544	995148
155	1551	993214
156	1565	995404
157	1575	995330
158	1582	993676
159	1593	994070
160	1600	992526
161	1611	992943
162	1618	991106
163	1628	991361
164	1635	989694
165	1646	990046
166	1654	988873
167	1667	990597
168	1676	990238
169	1684	988939
170	1698	991518
171	1706	990678
172	1717	991115
173	1724	989390
174	1735	989785
175	1741	987993
176	1752	988526
177	1761	987850
178	1773	989232
179	1786	990546
180	1798	991839
181	1811	993249
182	1821	993467
183	1828	992142
184	1840	993232
185	1851	993556
186	1859	992378
187	1870	992934
188	1878	991868
189	1888	991912
190	1895	990588
191	1907	991705
192	1918	992153
193	1926	991064
194	1938	992262
195	1945	990853
196	1958	992128
197	1971	993512
198	1983	994888
199	1993	994578
200	2000	993032
201	2012	994122
202	2024	995360
203	2036	996459
204	2049	997667
205	2062	999339
206	2076	1000906
207	2088	1002138
208	2101	1003397
209	2114	1004745
210	2126	1005710
211	2139	1006874
212	2150	1007572
213	2157	1006107
214	2169	1006937
215	2182	1008101
216	2193	1008692
217	2200	1007264
218	2212	1008074
219	2219	1006702
220	2232	1007812
221	2240	1006818
222	2247	1005575
223	2267	1009889
224	2286	1013961
225	2298	1014902
226	2317	1018778
227	2335	1021791
228	2352	1025135
229	2365	1026283
230	2382	1028982
231	2394	1029918
232	2413	1033498
233	2430	1036243
234	2443	1037323
235	2460	1040050
236	2473	1041208
237	2491	1044409
238	2507	1046838
239	2523	1048872
240	2539	1051215
241	2550	1051364
242	2562	1051834
243	2574	1052523
244	2586	1053227
245	2597	1053193
246	2603	1051612
247	2616	1052395
248	2629	1053355
249	2639	1053166
250	2646	1051658
251	2660	1053156
252	2669	1052429
253	2680	1052580
254	2690	1052430
255	2703	1053170
256	2715	1053870
257	2727	1054280
258	2735	1053312
259	2742	1052058
260	2752	1052017
261	2760	1050734
262	2770	1050825
263	2779	1050034
264	2790	1050333
265	2802	1050944
266	2814	1051216
267	2821	1049859
268	2831	1049835
269	2839	1048831
270	2852	1049563
271	2863	1049797
272	2870	1048502
273	2879	1047934
274	2886	1046829
275	2899	1047816
276	2910	1047886
277	2918	1046877
278	2930	1047600
279	2943	1048297
280	2955	1048822
281	2967	1049201
282	2979	1049885
283	2991	1050409
284	3001	1050322
285	3012	1050227
286	3025	1051051
287	3036	1051159
288	3043	1049945
289	3055	1050429
290	3067	1051011
291	3076	1050650
292	3084	1049667
293	3097	1050533
294	3110	1051342
295	3119	1050928
296	3126	1049722
297	3139	1050299
298	3151	1050699
299	3161	1050774
300	3174	1051516
301	3185	1051581
302	3192	1050502
303	3205	1051283
304	3216	1051225
305	3223	1050102
306	3239	1052130
307	3248	1051320
308	3263	1052885
309	3270	1051865
310	3284	1052672
311	3292	1052005
312	3297	1050341
313	3309	1050526
314	3316	1049623
315	3328	1049885
316	3335	1048739
317	3348	1049613
318	3361	1050378
319	3373	1050913
320	3383	1050728
321	3391	1049760
322	3403	1050267
323	3410	1049313
324	3423	1050040
325	3436	1050852
326	3448	1051043
327	3455	1050008
328	3468	1050845
329	3479	1051002
330	3487	1050021
331	3499	1050426
332	3506	1049475
333	3516	1049451
334	3524	1048623
335	3537	1049301
336	3548	1049334
337	3555	1048440
338	3566	1048636
